類型(Types),先備關係(Prerequisite),名稱(Name)
先備關係(Prerequisite),報讀日曆,認識昨天、今天、明天的用語
先備關係(Prerequisite),認識昨天、今天、明天的用語,報讀月曆
先備關係(Prerequisite),報讀月曆,完成月曆及應用
先備關係(Prerequisite),"認識50元錢幣及應用
認識10元錢幣及應用
認識5元錢幣及應用
認識1元錢幣及應用
認識100以內的數",補足金額（100元以內）
先備關係(Prerequisite),報讀月曆,報讀年曆
先備關係(Prerequisite),報讀年曆,日期的先後順序
先備關係(Prerequisite),無,認識100元錢幣及應用
先備關係(Prerequisite),無,認識10元錢幣及應用
先備關係(Prerequisite),無,認識1元錢幣及應用
先備關係(Prerequisite),無,認識50元錢幣及應用
先備關係(Prerequisite),無,認識5元錢幣及應用
先備關係(Prerequisite),"認識50元錢幣及應用
認識10元錢幣及應用
認識5元錢幣及應用
認識1元錢幣及應用",非單一個錢幣的換算（50元以內）
先備關係(Prerequisite),"認識100元錢幣及應用
認識50元錢幣及應用",非單一個錢幣的換算（100元以內）
先備關係(Prerequisite),"認識10元錢幣及應用
認識5元錢幣及應用
認識1元錢幣及應用
認識50以內的數",總共多少元（50元以內）
先備關係(Prerequisite),"總共多少元（50元以內）
認識100以內的數",總共多少元（100元以內）
先備關係(Prerequisite),10以內的加法,二位數加一位數（不進位，和在50以內）
先備關係(Prerequisite),"一位數加一位數（進位）
二位數加一位數（不進位，和在50以內）",二位數加一位數（進位，和在50以內）
先備關係(Prerequisite),"10以內的加法
二位數加一位數（不進位，和在50以內）",一位數加二位數（不進位，和在50以內）
先備關係(Prerequisite),"一位數加一位數（進位）
一位數加二位數（不進位，和在50以內）",一位數加二位數（進位，和在50以內）
先備關係(Prerequisite),"二位數加一位數（進位，和在50以內）
一位數加二位數（進位，和在50以內）",二位數加二位數（進位，和在50以內）
先備關係(Prerequisite),10以內的減法,二位數減一位數（不退位，被減數在50以內）
先備關係(Prerequisite),被減數為18以內減一位數差為一位數（退位）,二位數減一位數（退位，被減數在50以內）
先備關係(Prerequisite),二位數減一位數（不退位，被減數在50以內）,二位數減二位數（不退位，被減數在50以內）
先備關係(Prerequisite),二位數減一位數（退位，被減數在50以內）,二位數減二位數（退位，被減數在50以內）
先備關係(Prerequisite),"二位數加一位數（不進位，和在50以內）
一位數加二位數（不進位，和在50以內）",二位數加二位數（不進位，和在50以內）
先備關係(Prerequisite),"二位數加二位數（進位，和在50以內）
二位數減二位數（退位，被減數在50以內）",初步認識加減互逆關係
先備關係(Prerequisite),"二位數加二位數（進位，和在51以上）
二位數減二位數（退位，被減數在50以內）
判斷加減法時機（18以內）",判斷加減法時機（一次進位或一次退位）
先備關係(Prerequisite),1~30的做數,資料分類整理
先備關係(Prerequisite),資料分類整理,透過畫記做資料的紀錄
先備關係(Prerequisite),透過畫記做資料的紀錄,完成和報讀統計表
先備關係(Prerequisite),完成和報讀統計表,資料分類整理，並記錄到表格
先備關係(Prerequisite),認識100以內的數,認識300以內的數
先備關係(Prerequisite),認識個位和十位及位值單位換算,認識百位及位值單位換算
先備關係(Prerequisite),"總共多少元（100元以內）
認識300以內的數",總共多少元（100元以上）
先備關係(Prerequisite),100以內的數及大小比較,300以內的兩數大小比較
先備關係(Prerequisite),二位數加二位數（進位，和在50以內）,二位數加二位數（一次進位，個位進十位，和在200以內）
先備關係(Prerequisite),二位數加二位數（一次進位，個位進十位，和在200以內）,二位數加二位數（二次進位，和在200以內）
先備關係(Prerequisite),二位數加一位數（不進位，和在50以內）,二位數加一位數（不進位，和在100以內）
先備關係(Prerequisite),"二位數加一位數（不進位，和在100以內）
熟練18以內的加法心算（心算卡）",二位數加一位數（進位，和在200以內）
先備關係(Prerequisite),二位數加二位數（一次進位，個位進十位，和在200以內）,二位數加二位數（一次進位，十位進百位，和在200以內）
先備關係(Prerequisite),一位數加二位數（不進位，和在50以內）,一位數加二位數（不進位，和在100以內）
