類型(Types),先備關係(Prerequisite),名稱(Name)
先備關係(Prerequisite),認識毫公升及報讀,公升和毫公升的關係和換算
先備關係(Prerequisite),公升和毫公升的關係和換算,公升和毫升的大小比較
先備關係(Prerequisite),公升和毫公升的關係和換算,容量的複名數加法（沒有進位）
先備關係(Prerequisite),公升和毫公升的關係和換算,容量的複名數減法（沒有退位）
先備關係(Prerequisite),認識AM及PM,二十四時制與十二時制的換算
先備關係(Prerequisite),認識上午、中午、下午的用語,認識AM及PM
先備關係(Prerequisite),認識1秒鐘,時間的估測
先備關係(Prerequisite),認識鐘面上的1大格和1小格,認識1秒鐘
先備關係(Prerequisite),"認識1秒鐘
點數經過的N小時時間（整點鐘）
解決乘加兩步驟問題（不併式，二、三位數）",時間單位換算（一階單位）
先備關係(Prerequisite),點數經過的N小時時間（幾時幾分）,認識時間和時刻
先備關係(Prerequisite),二位數加二位數（一次進位，個位進十位，和在200以內）,時間量的加法（沒進位）
先備關係(Prerequisite),二位數減二位數（退位，被減數在99以內）,時間量的減法（沒退位）
先備關係(Prerequisite),二位數減二位數（退位，被減數在99以內）,計算兩時刻之間的時間量（沒退位）
先備關係(Prerequisite),二位數加二位數（一次進位，個位進十位，和在200以內）,時刻與時間量的加法（沒進位）
先備關係(Prerequisite),二位數減二位數（退位，被減數在99以內）,時刻與時間量的減法（沒退位）
先備關係(Prerequisite),"認識1公斤秤及報讀
認識3公斤秤及報讀",公斤、公克的重量實測和估測
先備關係(Prerequisite),認識天平，及比較重量,認識重量測量工具
先備關係(Prerequisite),面積的個別單位比較,認識面積和平方公分
先備關係(Prerequisite),實測、點數或計算報讀以平方公分為單位的面,利用切割、重組再點數或計算面積
先備關係(Prerequisite),認識面積和平方公分,面積的估算
先備關係(Prerequisite),重量的個別單位比較,認識公斤
先備關係(Prerequisite),"認識公斤
認識整數數線",認識公克
先備關係(Prerequisite),"認識公斤
認識公克",認識1公斤秤及報讀
先備關係(Prerequisite),認識1公斤秤及報讀,認識3公斤秤及報讀
先備關係(Prerequisite),"認識公斤
認識公克",公斤和公克的關係和換算
先備關係(Prerequisite),公斤和公克的關係和換算,公斤和公克的大小比較
先備關係(Prerequisite),公斤和公克的關係和換算,重量的複名數加法（沒有進位）
先備關係(Prerequisite),公斤和公克的關係和換算,重量的複名數減法（沒有退位）
先備關係(Prerequisite),報讀幾點幾分,報讀幾時幾分幾秒
先備關係(Prerequisite),"毫米和公分的關係和換算
認識一位小數",毫米換算成公分（小數的換算）
先備關係(Prerequisite),"認識一位小數
公升和毫公升的關係和換算",認識0.1公升
先備關係(Prerequisite),認識面積和平方公分,實測、點數或計算報讀以平方公分為單位的面
先備關係(Prerequisite),用任意形狀在方格板上繪製指定大小的面積,繪製指定的長方形面積
先備關係(Prerequisite),實測、點數或計算報讀以平方公分為單位的面,用任意形狀在方格板上繪製指定大小的面積
先備關係(Prerequisite),認識1000以內的數,認識10000以內的數
先備關係(Prerequisite),1000以內數的位值單位換算（幾個百幾個十幾個一）,認識千位及位值單位換算
先備關係(Prerequisite),"認識1000元錢幣及應用
付錢買東西（500元以上）",認識1000元以上的錢數
先備關係(Prerequisite),1000以內的兩數大小比較（含數與算式的比較）,10000以內的兩數大小比較
先備關係(Prerequisite),"繪製指定公分的長度（基本型）
認識10000以內的數",認識整數數線
先備關係(Prerequisite),認識整數數線,在數線上做加減
先備關係(Prerequisite),二位數除以一位數，商為二位數,奇數和偶數
先備關係(Prerequisite),透過連續圖形的變化找規律,透過數字變化找規律
先備關係(Prerequisite),認識分母在12以內的單位分數（連續量）,認識分數、分母、分子(非單位分數)
先備關係(Prerequisite),認識分數、分母、分子(非單位分數),分數的累加（數詞序列）
先備關係(Prerequisite),"單位分數的累加（不超過2）
不含帶分數的同分母分數的大小比較（小於1）",不含帶分數的同分母分數的大小比較（大於1）
先備關係(Prerequisite),分數的累加（數詞序列）,單位分數的累加（不超過2）
先備關係(Prerequisite),分數的累加（數詞序列）,不含帶分數的同分母分數的大小比較（小於1）
先備關係(Prerequisite),分數的累加（數詞序列）,知道N分之N等於1
先備關係(Prerequisite),不含帶分數的同分母分數的大小比較（大於1）,幾個和幾分之幾的大小比較
先備關係(Prerequisite),認識分數、分母、分子(非單位分數),認識一位小數
先備關係(Prerequisite),認識一位小數,零點A＝十分之A
先備關係(Prerequisite),零點A＝十分之A,認識十分位及位值單位換算
先備關係(Prerequisite),認識一位小數,一位小數的大小比較
先備關係(Prerequisite),"理解加減互逆關係及應用
四位數加法(進位)",四位數減法驗算
先備關係(Prerequisite),用線段圖輔助學生理解應用問題,利用線段圖解決四位數加減問題
先備關係(Prerequisite),"十十乘法及應用
一、二位數÷一位數，商為一位數(整除)",初步認識乘除互逆關係
先備關係(Prerequisite),初步認識乘除互逆關係,除法的驗算
先備關係(Prerequisite),初步認識乘除互逆關係,理解乘除互逆關係及應用
先備關係(Prerequisite),理解乘除互逆關係及應用,透過乘除互逆關係解應用題
先備關係(Prerequisite),認識千位及位值單位換算,一億以內數的位值單位換算
先備關係(Prerequisite),認識10000以內的數,認識一億以內的數及數詞序列
先備關係(Prerequisite),10000以內的兩數大小比較,一億以內數的大小比較
先備關係(Prerequisite),"認識一億以內的數及數詞序列
四位數加法(進位)",以萬為單位的加法
先備關係(Prerequisite),"認識一億以內的數及數詞序列
四位數減法(退位)",以萬為單位的減法
先備關係(Prerequisite),三位數乘以一位數（進位）,四位數乘以一位數
先備關係(Prerequisite),"一位數乘以幾十
三位數加三位數（和在1000以上）",一位數乘以二位數
先備關係(Prerequisite),幾十乘以一位數,一位數乘以幾十
先備關係(Prerequisite),一位數乘以二位數,二位數乘以二位數
先備關係(Prerequisite),幾十乘以幾十,二位數乘以幾十
先備關係(Prerequisite),四位數乘以三位數,乘數和被乘數末幾位有零的規則
先備關係(Prerequisite),一位數乘以二位數,一位數乘以三位數
先備關係(Prerequisite),二位數乘以幾百,二位數乘以三位數
先備關係(Prerequisite),二位數乘以幾十,二位數乘以幾百
先備關係(Prerequisite),一位數乘以幾十,幾十乘以幾十
先備關係(Prerequisite),二位數乘以幾十,三位數乘以幾十
先備關係(Prerequisite),三位數乘以二位數,四位數乘以二位數
先備關係(Prerequisite),"使用量角器量角和畫角
認識並辨別鈍角和銳角
認識並辨別直角",知道直角、鈍角和銳角的定義
先備關係(Prerequisite),認識旋轉角,認識並辨別周角
先備關係(Prerequisite),知道直角、鈍角和銳角的定義,角度的估測
先備關係(Prerequisite),使用量角器量角和畫角,角度的計算
先備關係(Prerequisite),知道直角、鈍角和銳角的定義,認識並辨別平角
先備關係(Prerequisite),認識角及構成要素,認識旋轉角
先備關係(Prerequisite),"認識整數數線
認識角及構成要素",認識量角器
先備關係(Prerequisite),認識旋轉角,認識順時針方向和逆時針方向
先備關係(Prerequisite),認識順時針方向和逆時針方向,認識鐘面上的角度
先備關係(Prerequisite),認識量角器,使用量角器量角和畫角
先備關係(Prerequisite),使用量角器量角和畫角,認識三角板上的角度
先備關係(Prerequisite),認識真分數和假分數,認識帶分數
先備關係(Prerequisite),認識分數、分母、分子(非單位分數),認識真分數和假分數
先備關係(Prerequisite),一、二位數÷一位數，商為一位數(有餘數),二位數÷二位數的估商
先備關係(Prerequisite),三位數除以一位數,四位數除以一位數
先備關係(Prerequisite),三位數除以二位數,四位數除以二位數
先備關係(Prerequisite),"認識並辨別鈍角和銳角
測量及繪製以公分和毫米為單位的長度",由邊或角來辨認三角形
先備關係(Prerequisite),由邊或角來辨認三角形,認識直角三角形及其特性
先備關係(Prerequisite),由邊或角來辨認三角形,認識等腰直角三角形及其特性
先備關係(Prerequisite),由邊或角來辨認三角形,認識鈍角三角形及其特性
先備關係(Prerequisite),"認識直角三角形及其特性
測量及繪製以公分和毫米為單位的長度",繪製直角三角形
先備關係(Prerequisite),"認識等腰三角形及其特性
測量及繪製以公分和毫米為單位的長度",繪製等腰三角形
先備關係(Prerequisite),"認識等腰直角三角形及其特性
測量及繪製以公分和毫米為單位的長度",繪製等腰直角三角形
先備關係(Prerequisite),公分和公尺的關係和換算,公里和公尺的關係和換算（沒有小數點）
先備關係(Prerequisite),公里和公尺的關係和換算（沒有小數點）,公里和公分的關係和換算
先備關係(Prerequisite),"公里和公尺的關係和換算（沒有小數點）
毫米和公分的加法",公里和公尺的加法
先備關係(Prerequisite),直觀認識正三角形、正方形和長方形特性,認識三角形的邊、角和頂點
先備關係(Prerequisite),"一、二位數÷一位數，商為一位數(有餘數)
二位數÷二位數的估商
二位數乘以一位數（進位）",二位數除以二位數
先備關係(Prerequisite),二位數除以二位數,三位數除以二位數
先備關係(Prerequisite),"認識帶分數
認識整數數線",認識分數數線
先備關係(Prerequisite),"三位數除以二位數
三位數乘以一位數（進位）",三位數除以三位數
先備關係(Prerequisite),透過數字變化找規律,在二維表格上找到數的規律
先備關係(Prerequisite),由邊或角來辨認三角形,認識正三角形及其特性
先備關係(Prerequisite),由邊或角來辨認三角形,認識等腰三角形及其特性
先備關係(Prerequisite),由邊或角來辨認三角形,認識銳角三角形及其特性
先備關係(Prerequisite),認識一位小數,認識二位小數
先備關係(Prerequisite),認識十分位及位值單位換算,認識百分位及位值單位換算
先備關係(Prerequisite),一位小數的大小比較,二位小數的大小比較
先備關係(Prerequisite),"毫米換算成公分（小數的換算）
認識0.1公升",小數與量的換算（如：1公分＝0.01公尺）
先備關係(Prerequisite),"認識平面圖形的邊、角和頂點
做平面圖形的平移、翻轉、重疊、比對…全等的活動",認識全等圖形及對應角、對應邊、對應點
先備關係(Prerequisite),一位小數加法,二位小數加法
先備關係(Prerequisite),一位小數減法,二位小數減法
先備關係(Prerequisite),認識有括號的先算,認識先乘除後加減的計算
先備關係(Prerequisite),"認識帶分數
知道N分之N等於1",帶分數和假分數的互換
先備關係(Prerequisite),同分母分數的加法,同分母分數的加法（有帶分數）
先備關係(Prerequisite),"同分母分數的減法
帶分數和假分數的互換",同分母分數的減法（有帶分數）
先備關係(Prerequisite),"認識整數數線
零點A＝十分之A",認識一位小數的小數數線
先備關係(Prerequisite),"假分數乘以整數
帶分數和假分數的互換",帶分數乘以整數
先備關係(Prerequisite),認識及報讀長條圖,報讀複雜長條圖（資料圖左右疊）
先備關係(Prerequisite),認識1公尺及公尺的量感,認識1公里及公里的量感
先備關係(Prerequisite),交叉對應表格,認識及報讀長條圖
先備關係(Prerequisite),認識及報讀長條圖,繪製長條圖
先備關係(Prerequisite),認識及報讀長條圖,認識及報讀折線圖
先備關係(Prerequisite),"公里和公尺的關係和換算（沒有小數點）
四位數乘以一位數",公里和公尺的乘法
先備關係(Prerequisite),"公里和公尺的關係和換算（沒有小數點）
毫米和公分的減法",公里和公尺的減法
先備關係(Prerequisite),"公里和公尺的關係和換算（沒有小數點）
四位數除以二位數",公里和公尺的除法
先備關係(Prerequisite),一位數乘以幾十,一位數乘以幾百
先備關係(Prerequisite),二位數乘以三位數,三位數乘以三位數
先備關係(Prerequisite),三位數乘以三位數,四位數乘以三位數
先備關係(Prerequisite),三位數除以三位數,四位數除以三位數
先備關係(Prerequisite),"四位數加法估算
四位數減法估算
認識一億以內的數及數詞序列",認識概數
先備關係(Prerequisite),"認識概數
認識一億以內的數及數詞序列",四捨五入法
先備關係(Prerequisite),"二位數乘以二位數
三位數乘以幾十",三位數乘以二位數
先備關係(Prerequisite),四位數除以三位數,除數和被除數末幾位有零的規則
先備關係(Prerequisite),"認識概數
認識一億以內的數及數詞序列",無條件捨去法
先備關係(Prerequisite),"認識概數
認識一億以內的數及數詞序列",無條件進入法
先備關係(Prerequisite),"四捨五入法
無條件捨去法
無條件進入法",概數的應用
先備關係(Prerequisite),認識互相垂直,繪製互相垂直的直線
先備關係(Prerequisite),"認識互相平行
繪製互相垂直的直線",繪製互相平行的直線
先備關係(Prerequisite),認識並辨別直角,認識互相垂直
先備關係(Prerequisite),認識互相垂直,認識互相平行
先備關係(Prerequisite),"解決加乘兩步驟問題（不併式）
解決減乘兩步驟問題（不併式）
解決加除兩步驟問題（不併式）
解決減除兩步驟問題（不併式）",認識有括號的先算
先備關係(Prerequisite),認識三角形的邊、角和頂點,認識四邊形及對邊、鄰邊和對角
先備關係(Prerequisite),認識四邊形及對邊、鄰邊和對角,認識各種四邊形及辨認
先備關係(Prerequisite),認識各種四邊形及辨認,認識對角線
先備關係(Prerequisite),"認識對角線
認識全等圖形及對應角、對應邊、對應點",四邊形對角線剪開後的全等關係
先備關係(Prerequisite),"認識各種四邊形及辨認
繪製互相平行的直線",繪製平行四邊形
先備關係(Prerequisite),"認識各種四邊形及辨認
繪製互相平行的直線",繪製正方形(已學會畫平行線)
先備關係(Prerequisite),"認識各種四邊形及辨認
繪製互相平行的直線",繪製長方形(已學會畫平行線)
先備關係(Prerequisite),"認識各種四邊形及辨認
繪製互相平行的直線",繪製指定四邊形
先備關係(Prerequisite),"解決連加兩步驟問題（不併式）
解決連減兩步驟問題（不併式）
解決連乘兩步驟問題（不併式）",認識由左而右的計算
先備關係(Prerequisite),解決加減混合兩步驟問題（不併式）,先加再減與先減再加的結果相同
先備關係(Prerequisite),認識由左而右的計算,先乘後除與先除後乘的結果相同
先備關係(Prerequisite),解決連加兩步驟問題（不併式）,連加的順序可交換
先備關係(Prerequisite),解決連減兩步驟問題（不併式）,連減的順序可交換
先備關係(Prerequisite),解決連乘兩步驟問題（不併式）,三數相乘，順序改變不影響其積
先備關係(Prerequisite),"認識各種四邊形及辨認
繪製互相平行的直線",繪製梯形
先備關係(Prerequisite),"認識各種四邊形及辨認
繪製互相平行的直線",繪製菱形
先備關係(Prerequisite),帶分數乘以整數,解決分數的整數倍兩步驟問題（不併式）
先備關係(Prerequisite),真分數乘以整數,假分數乘以整數
先備關係(Prerequisite),同分母分數的加法,真分數乘以整數
先備關係(Prerequisite),"藉由顏色或圖形變化找規律
做平面圖形的平移、翻轉、重疊、比對…全等的活動",在二維圖上找到圖的規律
先備關係(Prerequisite),認識及報讀長條圖,認識省略符號
先備關係(Prerequisite),認識體積,直觀比較體積的大小
先備關係(Prerequisite),無,認識體積
先備關係(Prerequisite),直觀比較體積的大小,體積的個別單位比較
先備關係(Prerequisite),三位數乘以二位數,一位小數乘以二位整數
先備關係(Prerequisite),二位小數乘以二位整數,小數乘以整數之小數點位置關係
先備關係(Prerequisite),三位數乘以一位數（進位）,一位小數乘以一位整數
先備關係(Prerequisite),一位小數乘以一位整數,二位小數乘以一位整數
先備關係(Prerequisite),體積的個別單位比較,點數排成四角柱的形體
先備關係(Prerequisite),點數排成四角柱的形體,認識1立方公分，並進行形體的堆疊
先備關係(Prerequisite),認識1立方公分，並進行形體的堆疊,點算複雜複合形體的體積
先備關係(Prerequisite),一位小數乘以二位整數,二位小數乘以二位整數
先備關係(Prerequisite),二位小數乘以二位整數,解決小數的整數倍兩步驟問題（不併式）
先備關係(Prerequisite),認識一位小數的小數數線,繪製一位小數的數線並紀錄
先備關係(Prerequisite),認識一位小數的小數數線,認識二位以上小數的小數數線
先備關係(Prerequisite),"實測、點數或計算報讀以平方公分為單位的面
正方形和長方形的特性及構成要素",認識正方形面積公式
先備關係(Prerequisite),"實測、點數或計算報讀以平方公分為單位的面
正方形和長方形的特性及構成要素",認識長方形面積公式
先備關係(Prerequisite),正方形和長方形的特性及構成要素,正方形周長公式
先備關係(Prerequisite),"正方形和長方形的特性及構成要素
認識有括號的先算",長方形周長公式
先備關係(Prerequisite),認識面積和平方公分,平方公尺
先備關係(Prerequisite),"認識正方形面積公式
認識長方形面積公式",長方形和正方形的複合圖形面積
先備關係(Prerequisite),平方公尺,平方公尺與平方公分的換算
先備關係(Prerequisite),"正方形周長公式
長方形周長公式",正方形或長方形的複合圖形周長
先備關係(Prerequisite),知道N分之N等於1,認識等值分數
先備關係(Prerequisite),找出等值分數,異分母分數的大小比較（有數線或圖形輔助）
先備關係(Prerequisite),異分母分數的大小比較（有數線或圖形輔助）,透過線段圖解決異分母分數的計算
先備關係(Prerequisite),認識等值分數,找出等值分數
先備關係(Prerequisite),認識百分位及位值單位換算,小數換分數（二位以下小數）
先備關係(Prerequisite),找出等值分數,分數換小數（分母為2、5、10、100的分數）
先備關係(Prerequisite),"正方形周長公式
長方形周長公式
認識正方形面積公式
認識長方形面積公式",面積和周長的關係
先備關係(Prerequisite),"正方形周長公式
長方形周長公式
認識正方形面積公式
認識長方形面積公式",長方形和正方形面積公式的應用（如：用面積求邊長、用周長求面積）
先備關係(Prerequisite),帶分數和假分數的互換,含帶分數的同分母分數的大小比較
先備關係(Prerequisite),解決連減兩步驟問題（不併式）,連減兩數相當於減此兩數之和
先備關係(Prerequisite),時間單位換算（一階單位）,時間單位換算（二階單位）
先備關係(Prerequisite),時間量的減法（沒退位）,時間量的減法（有退位）
先備關係(Prerequisite),計算兩時刻之間的時間量（沒退位）,計算兩時刻之間的時間量（有退位）
先備關係(Prerequisite),計算兩時刻之間的時間量（有退位）,時刻與時刻的跨日計算
先備關係(Prerequisite),時間量的加法（沒進位）,時間量的加法（有進位）
先備關係(Prerequisite),時刻與時間量的加法（沒進位）,時刻與時間量的加法（有進位）
先備關係(Prerequisite),"時刻與時間量的減法（有退位）
時刻與時間量的加法（沒進位）",時刻與時間量的跨日計算
先備關係(Prerequisite),時刻與時間量的減法（沒退位）,時刻與時間量的減法（有退位）
先備關係(Prerequisite),奇數和偶數,奇數和偶數的相加和相乘關係
先備關係(Prerequisite),奇數和偶數,奇數和奇數的相加和相減關係
先備關係(Prerequisite),無,以文字表示數學公式
先備關係(Prerequisite),認識二位小數,認識三位小數
先備關係(Prerequisite),報讀複雜長條圖（資料圖左右疊）,報讀含有省略符號的複雜長條圖
先備關係(Prerequisite),報讀複雜折線圖,報讀含有省略符號的複雜折線圖
先備關係(Prerequisite),"認識及報讀折線圖
認識及報讀長條圖",報讀長條圖和折線圖同時呈現的統計圖
先備關係(Prerequisite),繪製折線圖,繪製複雜折線圖
先備關係(Prerequisite),二位小數加法,三位小數加法
先備關係(Prerequisite),二位小數加法,多位小數加法
先備關係(Prerequisite),二位小數減法,三位小數減法
先備關係(Prerequisite),二位小數減法,多位小數減法
先備關係(Prerequisite),四捨五入法,小數取概數
先備關係(Prerequisite),認識一兆以內的數,認識一兆以上的數
先備關係(Prerequisite),以萬為單位的加法,以萬、億、兆為單位的加法
先備關係(Prerequisite),以萬為單位的減法,以萬、億、兆為單位的減法
先備關係(Prerequisite),"除數和被除數末幾位有零的規則
數的十進結構",熟悉十進位系統解決末位有零的除法
先備關係(Prerequisite),一、二位數÷一位數，商為一位數(有餘數),整除
先備關係(Prerequisite),整除,因數
先備關係(Prerequisite),"因數
倍數",因數和倍數的關係
先備關係(Prerequisite),因數,有特定範圍的因數應用
先備關係(Prerequisite),倍數,有特定範圍的倍數應用
先備關係(Prerequisite),十十乘法及應用,倍數
先備關係(Prerequisite),公分的加法,三角形兩邊長的和大於第三邊
先備關係(Prerequisite),倍數,2、3、5……的倍數判別
先備關係(Prerequisite),角度的計算,三角形內角和及應用
先備關係(Prerequisite),三角形內角和及應用,多邊形內角和及應用
先備關係(Prerequisite),倍數,公倍數
先備關係(Prerequisite),公倍數,認識最小公倍數
先備關係(Prerequisite),因數,公因數
先備關係(Prerequisite),公因數,認識最大公因數
先備關係(Prerequisite),"異分母分數的大小比較（有數線或圖形輔助）
通分",異分母分數的大小比較（沒有數線或圖形輔助）
先備關係(Prerequisite),"擴分
約分",通分
先備關係(Prerequisite),"公倍數
公因數",公因數和公倍數的應用
先備關係(Prerequisite),正方形和長方形的特性及構成要素,認識多邊形
先備關係(Prerequisite),認識多邊形,認識正多邊形
先備關係(Prerequisite),角柱的構成要素,角柱的展開圖
先備關係(Prerequisite),分辨角錐和圓錐,錐體的命名
先備關係(Prerequisite),柱體的命名,角柱的各部位名稱
先備關係(Prerequisite),柱體的命名,圓柱的各部位名稱
先備關係(Prerequisite),柱體的命名,柱體的透視圖
先備關係(Prerequisite),多邊形內角和及應用,求多邊形其中一內角
先備關係(Prerequisite),角錐的構成要素,角錐的展開圖
先備關係(Prerequisite),錐體的命名,角錐的各部位名稱
先備關係(Prerequisite),錐體的命名,錐體的透視圖
先備關係(Prerequisite),"用分數表示整數相除的結果（並做分數計算）
認識圓心角",幾分之幾圓的扇形
先備關係(Prerequisite),"認識角及構成要素
使用圓規畫圓",扇形的構成要素
先備關係(Prerequisite),"扇形的構成要素
使用量角器量角和畫角",認識圓心角
先備關係(Prerequisite),認識圓心、圓周、半徑、直徑,認識球體
先備關係(Prerequisite),通分,異分母分數的加法
先備關係(Prerequisite),"認識由左而右的計算
認識有括號的先算
認識先乘除後加減的計算",解決四則混合多步驟問題
先備關係(Prerequisite),"認識由左而右的計算
認識有括號的先算
認識先乘除後加減的計算",乘法對加法的分配律之簡化計算
先備關係(Prerequisite),"認識由左而右的計算
認識有括號的先算
認識先乘除後加減的計算",乘法對減法的分配律之簡化計算
先備關係(Prerequisite),用分數表示整數相除的結果,用分數表示整數相除的結果（並做分數計算）
先備關係(Prerequisite),認識線對稱圖形和對稱軸,認識常見的多邊形對稱性質
先備關係(Prerequisite),"找出等值分數
公倍數",擴分
先備關係(Prerequisite),"找出等值分數
公因數",約分
先備關係(Prerequisite),認識線對稱圖形和對稱軸,認識對稱點、對稱邊和對稱角
先備關係(Prerequisite),三數相乘，順序改變不影響其積,解決連乘多步驟問題
先備關係(Prerequisite),連減的順序可交換,解決連減多步驟問題
先備關係(Prerequisite),"連除兩數等於除以兩數之積
連除兩數的順序交換結果不變",解決連除多步驟問題
先備關係(Prerequisite),"認識由左而右的計算
認識有括號的先算
認識先乘除後加減的計算",平均問題
先備關係(Prerequisite),通分,異分母分數的減法
先備關係(Prerequisite),"先加再減與先減再加的結果相同
乘法對加法的分配律之簡化計算
乘法對減法的分配律之簡化計算",將算式中的數拆成末位有0的數和另一個數
先備關係(Prerequisite),解決連除多步驟問題,連除兩數等於除以兩數之積
先備關係(Prerequisite),解決連除多步驟問題,連除兩數的順序交換結果不變
先備關係(Prerequisite),認識互相垂直,平行四邊形的高
先備關係(Prerequisite),連加的順序可交換,解決連加多步驟問題
先備關係(Prerequisite),認識三角形面積公式,三角形底、高和面積的三者關係
先備關係(Prerequisite),平行四邊形的高,三角形的高
先備關係(Prerequisite),認識梯形面積公式,梯形上下底和、高與面積的三者間的關係
先備關係(Prerequisite),"梯形的高
認識平行四邊形公式",認識梯形面積公式
先備關係(Prerequisite),認識長方形面積公式,對角線互向垂直的四邊形面積公式
先備關係(Prerequisite),認識平行四邊形公式,平行四邊形底、高和面積的三者間的關係
先備關係(Prerequisite),"平行四邊形的高
認識長方形面積公式
利用切割、重組再點數或計算面積",認識平行四邊形公式
先備關係(Prerequisite),"時間單位換算（二階單位）
二位數乘以二位數",時和分的乘法
先備關係(Prerequisite),"三角形的高
認識平行四邊形公式",認識三角形面積公式
先備關係(Prerequisite),"時間單位換算（二階單位）
一、二位數÷一位數，商為一位數(有餘數)",日和時的除法
先備關係(Prerequisite),"時間單位換算（二階單位）
一、二位數÷一位數，商為一位數(有餘數)",時和分的除法
先備關係(Prerequisite),用分數表示整數相除的結果,整數乘以幾分之一
先備關係(Prerequisite),平行四邊形的高,梯形的高
先備關係(Prerequisite),"分和秒的乘法
時和分的乘法
日和時的乘法
分和秒的除法
時和分的除法
日和時的除法
時間除以時間",時間的四則或多步驟計算
先備關係(Prerequisite),"認識梯形面積公式
認識平行四邊形公式
認識三角形面積公式",三角形、長方形、平行四邊形和梯形的複合圖形面積
先備關係(Prerequisite),正方體和長方體的構成要素,立體形體的分類
先備關係(Prerequisite),錐體的命名,圓錐的各部位名稱
先備關係(Prerequisite),正方體和長方體的構成要素,認識視圖和透視圖
先備關係(Prerequisite),角柱的各部位名稱,角柱的構成要素
先備關係(Prerequisite),"認識互相平行
認識互相垂直",長方體和正方體邊和邊的關係
先備關係(Prerequisite),長方體和正方體面和面的關係,角柱面和面的關係
先備關係(Prerequisite),"認識互相平行
認識互相垂直",長方體和正方體面和面的關係
先備關係(Prerequisite),"長方體和正方體邊和邊的關係
長方體和正方體面和面的關係",長方體和正方體邊和面的關係
先備關係(Prerequisite),圓柱的構成要素,圓柱的展開圖
先備關係(Prerequisite),圓錐的構成要素,圓錐的展開圖
先備關係(Prerequisite),"正方體和長方體的構成要素
長方體和正方體面和面的關係",正方體的展開圖
先備關係(Prerequisite),"正方體和長方體的構成要素
長方體和正方體面和面的關係",長方體的展開圖
先備關係(Prerequisite),"長方體的展開圖
認識長方形面積公式",長方體的表面積
先備關係(Prerequisite),"認識分數、分母、分子(非單位分數)
帶分數和假分數的互換",用分數表示整數相除的結果
先備關係(Prerequisite),點數排成四角柱的形體,正方體的體積公式
先備關係(Prerequisite),點數排成四角柱的形體,長方體的體積公式
先備關係(Prerequisite),用分數表示整數相除的結果,用分數表示整數相除的結果（求得分數再乘以整數）
先備關係(Prerequisite),認識1立方公分，並進行形體的堆疊,認識1立方公尺
先備關係(Prerequisite),認識1立方公尺,立方公尺與立方公分的關係和換算
先備關係(Prerequisite),認識多位小數（三位以上）,三位小數的大小比較
先備關係(Prerequisite),認識多位小數（三位以上）,多位小數的大小比較
先備關係(Prerequisite),小數與量的換算（如：1公分＝0.01公尺）,小數與量的換算（如：1500毫公升=0.15公升）
先備關係(Prerequisite),認識三位小數,認識多位小數（三位以上）
先備關係(Prerequisite),認識多位小數（三位以上）,公里和公尺的關係和換算（有小數點）
先備關係(Prerequisite),分數乘以分數,分數乘法中，被乘數、乘數和積的關係
先備關係(Prerequisite),分數乘以分數,解決分數的兩步驟問題（不併式）
先備關係(Prerequisite),"正方體的體積公式
長方體的體積公式",長方體或正方體構成的複合形體體積的計算
先備關係(Prerequisite),"乘數和被乘數末幾位有零的規則
數的十進結構",熟悉十進位系統解決末位有零的乘法
先備關係(Prerequisite),二位小數乘以二位整數,三位小數乘以二位整數
先備關係(Prerequisite),整數乘以一位小數,整數乘以二位以上小數
先備關係(Prerequisite),二位小數乘以一位整數,三位小數乘以一位整數
先備關係(Prerequisite),三位小數乘以二位整數,四位以上小數乘以二位以上整數
先備關係(Prerequisite),三位小數乘以一位整數,四位以上小數乘以一位整數
先備關係(Prerequisite),整數乘以幾分之一,整數乘以分數
先備關係(Prerequisite),一位小數乘以二位整數,整數乘以一位小數
先備關係(Prerequisite),整數乘以二位以上小數,整數乘以小數之小數點位置關係
先備關係(Prerequisite),整數乘以分數,分數乘以分數
先備關係(Prerequisite),整數乘以二位以上小數,小數乘以小數
先備關係(Prerequisite),分數乘以分數,分數除以整數
先備關係(Prerequisite),長方體的體積公式,認識容積及計算容器的容積
先備關係(Prerequisite),幾分之幾圓的扇形,扇形的比較及應用
先備關係(Prerequisite),容積、容量、液量和體積的關係和換算,物體的體積與排水量
先備關係(Prerequisite),"認識容積及計算容器的容積
公升和毫公升的關係和換算",容積、容量、液量和體積的關係和換算
先備關係(Prerequisite),容積、容量、液量和體積的關係和換算,計算容器的容量
先備關係(Prerequisite),"長方體的體積公式
容積、容量、液量和體積的關係和換算",計算有蓋或無蓋容器的容積或容量
先備關係(Prerequisite),長方體的體積公式,液體在容器內水面的高度
先備關係(Prerequisite),"使用量角器量角和畫角
使用圓規畫圓",繪製扇形
先備關係(Prerequisite),公升和毫公升的關係和換算,公秉的換算
先備關係(Prerequisite),"小數乘以小數
小數乘以整數之小數點位置關係
整數乘以小數之小數點位置關係",小數乘法中，被乘數、乘數和積的關係
先備關係(Prerequisite),四位數除以三位數,整數除以整數，商為小數
先備關係(Prerequisite),整數除以整數，商為小數,小數除以一位整數
先備關係(Prerequisite),小數除以一位整數,小數除以二位以上整數
先備關係(Prerequisite),小數除以二位以上整數,小數除以整數之小數點位置關係
先備關係(Prerequisite),"認識一兆以上的數
認識多位小數（三位以上）",數的十進結構
