標籤(Label),編號(ID),名稱(Name),學制(Education System),學科(Subject),是否為根結點(IsRoot),主題(Topic),次主題(Unit),概念(Concept),,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識幾點半,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識上午、中午、下午的用語,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,透過一天的時間認識整點鐘和半點鐘,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,幾小時之前，幾小時之後（整點或半點）,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識50以內的數,國小(Elementary school),數學(Math),,數,x,數到50,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識100以內的數,國小(Elementary school),數學(Math),,數,x,數到100,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,10個一數,國小(Elementary school),數學(Math),,數,x,幾個一數,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,5個一數,國小(Elementary school),數學(Math),,數,x,幾個一數,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,2個一數,國小(Elementary school),數學(Math),,數,x,幾個一數,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識個位和十位及位值單位換算,國小(Elementary school),數學(Math),,數,x,數到100,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,十和一的關係與換算,國小(Elementary school),數學(Math),,數,x,數到50,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,50以內的序數,國小(Elementary school),數學(Math),,數,x,數到50,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,100以內的序數,國小(Elementary school),數學(Math),,數,x,數到100,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,50以內的大小比較,國小(Elementary school),數學(Math),,數,x,數到50,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,100以內的數及大小比較,國小(Elementary school),數學(Math),,數,x,數到100,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,百數表,國小(Elementary school),數學(Math),,數,x,數到100,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,一位數加一位數（進位）,國小(Elementary school),數學(Math),,計算,x,18以內的加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,10＋一位數,國小(Elementary school),數學(Math),,計算,x,18以內的加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,路徑長短與個別單位數量的關係,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,熟練18以內的加法心算（心算卡）,國小(Elementary school),數學(Math),,計算,x,18以內的加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,透過同數相加計算，解決相鄰算式的問題（已知5+5=10，求5+6）,國小(Elementary school),數學(Math),,計算,x,18以內的加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,和不變（8＋3＝11，9＋2＝11）,國小(Elementary school),數學(Math),,計算,x,18以內的加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,長度的間接比較,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識粗細,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,長度的個別單位複製,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,使用指定數量的圖卡排出造型,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
